"wz11cd","lsoa11cd","msoa11cd","date","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: L15 Full-time students; measures: Value"
"E33019888","E01033620","E02006899",2011,1063,401,47,0,47,354,254,90,9,1,241,141,98,40,3,0,59,41,297,263,32,1,1,10,2,2,0,8,8,0,45,18,27,26,1,35,5,16,3,4,0,7,0,24,3,1,7,13,0,10
"E33019889","E01033620","E02006899",2011,409,190,8,0,8,182,144,11,27,0,106,68,31,34,3,0,18,20,84,82,1,1,0,0,0,0,0,0,0,0,5,5,0,0,0,12,3,5,1,0,1,2,0,6,0,0,0,6,0,6
"E33019890","E01033620","E02006899",2011,1440,279,43,0,43,236,107,121,6,2,393,277,216,61,0,0,86,30,561,449,102,9,1,9,4,4,0,5,5,0,49,27,22,19,3,77,33,29,0,2,0,12,1,34,10,2,4,18,0,38
"E33019891","E01033620","E02006899",2011,907,282,11,0,11,271,155,55,59,2,182,86,62,19,5,0,52,44,277,234,42,1,0,9,5,5,0,4,4,0,32,28,4,3,1,54,30,10,1,0,0,13,0,35,23,4,3,5,0,36
"E33019892","E01033620","E02006899",2011,1291,376,43,0,43,333,98,232,1,2,490,234,145,85,4,0,189,67,306,282,21,1,2,7,3,3,0,4,4,0,17,13,4,4,0,60,39,14,1,2,0,3,1,14,1,1,4,8,0,21
"E33019893","E01033620","E02006899",2011,769,104,35,0,35,69,39,23,6,1,269,190,174,10,6,0,63,16,160,103,39,18,0,22,7,7,0,15,15,0,39,24,15,11,4,81,15,40,4,6,0,13,3,44,8,5,11,20,0,50
"E33019894","E01033620","E02006899",2011,676,230,19,0,19,211,153,22,36,0,202,140,126,14,0,0,29,33,190,165,19,2,4,4,1,1,0,3,3,0,14,12,2,1,1,23,1,17,0,0,0,4,1,5,2,0,2,1,0,8
"E33019895","E01033620","E02006899",2011,985,130,34,0,34,96,28,65,1,2,263,131,100,29,1,1,110,22,444,360,80,3,1,8,2,2,0,6,6,0,39,24,15,12,3,45,6,30,0,5,0,4,0,24,13,1,1,9,0,32
"E33019896","E01033620","E02006899",2011,485,152,8,0,8,144,100,15,28,1,106,53,39,5,9,0,25,28,136,111,23,2,0,14,8,8,0,6,6,0,14,10,4,3,1,31,1,15,1,2,1,9,2,9,5,0,2,2,0,23
"E33019897","E01033620","E02006899",2011,198,9,3,0,3,6,3,2,1,0,39,23,21,2,0,0,16,0,23,14,1,8,0,7,0,0,0,7,7,0,12,8,4,4,0,38,5,26,2,1,0,4,0,22,16,2,2,2,0,48
"E33019898","E01033620","E02006899",2011,391,107,17,0,17,90,65,7,11,7,160,124,110,11,3,0,26,10,105,98,7,0,0,4,2,2,0,2,2,0,1,0,1,1,0,8,0,1,0,1,0,5,1,4,0,0,1,3,0,2
"E33019899","E01033620","E02006899",2011,855,268,26,0,26,242,78,154,6,4,260,187,138,45,4,0,59,14,179,147,17,12,3,10,3,3,0,7,7,0,22,17,5,5,0,50,4,28,1,4,0,13,0,34,11,1,3,19,0,32
"E33019900","E01033620","E02006899",2011,988,85,18,0,18,67,36,27,4,0,208,77,65,7,4,1,89,42,313,89,220,3,1,26,11,11,0,15,15,0,190,31,159,139,20,67,38,20,0,4,0,4,1,56,10,2,23,21,0,43
"E33019901","E01033620","E02006899",2011,273,44,9,0,9,35,15,8,12,0,82,41,33,6,2,0,36,5,37,29,8,0,0,17,7,7,0,10,10,0,18,17,1,1,0,33,24,9,0,0,0,0,0,22,16,0,2,4,0,20
"E33019902","E01033620","E02006899",2011,496,37,8,0,8,29,16,12,1,0,230,151,138,9,4,0,34,45,127,116,7,4,0,16,3,3,0,13,13,0,18,15,3,3,0,38,4,24,0,4,0,4,2,11,2,0,1,8,0,19
"E33019903","E01033620","E02006899",2011,1354,250,89,0,89,161,106,52,1,2,546,364,353,8,3,0,63,119,313,273,23,16,1,8,3,3,0,5,5,0,29,20,9,8,1,127,2,113,1,2,0,7,2,69,39,1,8,21,0,12
"E33019904","E01033620","E02006899",2011,1824,928,42,0,42,886,609,131,144,2,265,169,125,29,13,2,36,60,455,441,9,3,2,20,8,8,0,12,12,0,37,28,9,8,1,71,3,33,4,0,0,30,1,26,8,4,5,9,0,22
"E33019905","E01033620","E02006899",2011,410,129,16,0,16,113,30,80,3,0,115,73,45,28,0,0,35,7,94,92,1,1,0,8,7,4,3,1,1,0,21,17,4,3,1,18,0,7,5,1,0,5,0,13,5,1,1,6,0,12
"E33019906","E01033620","E02006899",2011,313,66,20,0,20,46,26,16,4,0,161,119,98,21,0,0,37,5,60,52,7,1,0,4,0,0,0,4,4,0,3,1,2,2,0,9,1,6,0,1,0,1,0,8,0,0,1,7,0,2
"E33019907","E01033620","E02006899",2011,614,163,29,0,29,134,51,77,4,2,189,146,104,37,4,1,33,10,146,53,15,4,74,9,2,2,0,7,7,0,30,17,13,13,0,35,5,17,2,2,0,7,2,17,5,3,4,5,0,25
"E33019908","E01033625","E02006899",2011,1352,543,52,0,52,491,398,89,3,1,393,260,219,36,2,3,64,69,196,119,62,12,3,7,1,1,0,6,6,0,119,37,82,76,6,45,1,24,2,10,0,8,0,28,2,1,11,14,0,21
"E33019909","E01033625","E02006899",2011,2021,360,31,0,31,329,203,120,4,2,793,551,460,52,38,1,185,57,198,114,61,8,15,16,4,4,0,12,11,1,243,129,114,67,47,143,66,53,3,8,0,13,0,148,70,1,20,57,0,120
"E33019910","E01033625","E02006899",2011,329,72,13,0,13,59,39,11,9,0,93,69,59,4,6,0,21,3,26,18,6,1,1,3,1,1,0,2,2,0,35,20,15,11,4,30,7,17,1,1,0,4,0,37,10,1,4,22,0,33
"E33019911","E01033625","E02006899",2011,282,33,3,0,3,30,13,14,3,0,70,39,25,6,6,2,26,5,25,15,7,0,3,20,6,6,0,14,14,0,60,38,22,4,18,46,6,32,0,1,0,6,1,11,6,0,2,3,0,17
"E33019912","E01033617","E02001876",2011,603,148,27,0,27,121,104,13,4,0,274,237,223,8,6,0,24,13,86,62,14,9,1,6,0,0,0,6,6,0,14,8,6,5,1,36,1,22,2,2,0,2,7,10,1,1,1,7,0,29
"E33019913","E01033625","E02006899",2011,906,232,31,0,31,201,70,114,11,6,313,196,165,17,12,2,72,45,222,133,80,7,2,23,7,7,0,16,16,0,27,16,11,10,1,46,12,19,0,2,0,12,1,21,7,0,2,12,0,22
"E33019914","E01033625","E02006899",2011,521,41,13,0,13,28,20,4,4,0,165,98,91,6,0,1,52,15,81,68,12,0,1,22,15,15,0,7,7,0,49,32,17,13,4,48,12,26,0,2,0,8,0,47,33,4,1,8,1,68
"E33019915","E01033625","E02006899",2011,268,76,4,0,4,72,58,7,7,0,63,43,31,7,3,2,10,10,60,42,7,11,0,5,1,1,0,4,4,0,5,5,0,0,0,11,1,6,0,1,1,2,0,14,5,1,0,8,0,34
"E33019916","E01033625","E02006899",2011,666,139,14,0,14,125,72,50,3,0,217,118,78,32,5,3,67,32,122,98,18,3,3,10,2,2,0,8,8,0,53,38,15,13,2,36,4,23,3,1,1,4,0,54,19,3,7,25,0,35
"E33019917","E01033617","E02001876",2011,1687,416,52,0,52,364,279,73,10,2,580,388,333,45,8,2,70,122,398,342,45,9,2,18,10,10,0,8,8,0,69,36,33,33,0,90,11,42,5,21,1,9,1,69,6,7,18,38,0,47
"E33019918","E01008899","E02001863",2011,312,24,5,0,5,19,6,13,0,0,74,39,27,12,0,0,27,8,63,38,17,4,4,22,7,7,0,15,15,0,38,9,29,29,0,35,14,11,2,3,0,4,1,44,3,0,15,26,0,12
"E33019919","E01033620","E02006899",2011,441,12,4,0,4,8,4,3,1,0,81,30,27,2,0,1,33,18,54,18,32,3,1,3,0,0,0,3,3,0,48,30,18,10,8,115,84,27,0,0,1,3,0,27,4,0,6,17,0,101
"E33019920","E01033620","E02006899",2011,1005,22,7,0,7,15,5,6,4,0,191,42,30,10,2,0,98,51,63,26,34,2,1,18,3,3,0,15,15,0,97,86,11,11,0,380,323,36,1,4,1,14,1,63,16,1,10,36,0,171
"E33019921","E01033620","E02006899",2011,309,47,3,0,3,44,35,8,1,0,66,18,18,0,0,0,16,32,133,128,5,0,0,11,7,7,0,4,4,0,7,5,2,1,1,32,4,24,1,1,0,2,0,6,4,0,0,2,0,7
"E33019922","E01033620","E02006899",2011,865,15,8,0,8,7,4,3,0,0,209,65,55,6,3,1,89,55,50,19,29,2,0,15,9,9,0,6,5,1,55,52,3,3,0,276,235,21,0,3,0,10,7,49,11,4,1,33,0,196
"E33019923","E01033620","E02006899",2011,319,14,6,0,6,8,5,3,0,0,57,16,13,3,0,0,30,11,55,30,25,0,0,4,2,2,0,2,2,0,26,25,1,1,0,102,76,18,0,4,0,4,0,7,0,0,3,4,0,54
"E33019924","E01033620","E02006899",2011,1357,229,22,0,22,207,42,164,0,1,253,110,81,26,1,2,49,94,661,610,48,1,2,10,2,2,0,8,8,0,35,26,9,4,5,82,40,19,2,6,0,15,0,54,2,6,11,35,0,33
"E33019925","E01033620","E02006899",2011,331,90,19,0,19,71,51,17,2,1,96,35,30,5,0,0,16,45,106,98,6,2,0,2,1,1,0,1,1,0,8,6,2,2,0,22,1,19,0,0,0,2,0,4,1,0,0,3,0,3
"E33019926","E01033620","E02006899",2011,348,41,6,0,6,35,27,2,6,0,104,61,53,5,3,0,33,10,48,38,6,4,0,7,4,4,0,3,3,0,19,16,3,3,0,72,27,40,0,2,0,3,0,10,3,0,1,6,0,47
"E33019927","E01033620","E02006899",2011,620,24,12,0,12,12,5,5,1,1,146,28,22,1,5,0,75,43,83,26,53,1,3,18,3,3,0,15,15,0,80,49,31,19,12,147,120,17,5,2,0,3,0,33,7,1,5,20,0,89
"E33019928","E01033620","E02006899",2011,434,30,12,0,12,18,4,14,0,0,187,143,129,7,7,0,29,15,61,36,20,5,0,6,3,3,0,3,3,0,16,15,1,0,1,73,60,7,0,2,0,4,0,16,3,1,0,12,0,45
"E33019929","E01033620","E02006899",2011,354,24,7,0,7,17,11,5,1,0,76,30,27,2,1,0,33,13,37,18,11,8,0,5,3,3,0,2,2,0,25,25,0,0,0,124,107,10,1,0,0,6,0,7,3,2,0,2,0,56
"E33019930","E01033620","E02006899",2011,368,113,6,0,6,107,96,3,7,1,76,35,26,5,3,1,19,22,96,96,0,0,0,14,4,4,0,10,10,0,12,11,1,1,0,25,20,1,3,0,0,1,0,12,7,1,1,3,0,20
"E33019931","E01033620","E02006899",2011,370,5,1,0,1,4,3,1,0,0,76,12,9,2,1,0,39,25,84,17,67,0,0,7,1,1,0,6,6,0,68,27,41,29,12,62,35,22,2,2,0,1,0,41,5,3,10,23,0,27
"E33019932","E01033620","E02006899",2011,206,1,1,0,1,0,0,0,0,0,38,6,6,0,0,0,29,3,19,10,9,0,0,8,5,5,0,3,3,0,29,27,2,2,0,36,20,13,1,0,0,2,0,25,15,0,3,7,0,50
"E33019933","E01033620","E02006899",2011,333,9,2,0,2,7,4,3,0,0,76,16,10,6,0,0,52,8,21,9,12,0,0,40,14,14,0,26,26,0,41,33,8,8,0,98,84,10,0,0,0,4,0,13,0,0,8,5,0,35
"E33019934","E01033620","E02006899",2011,523,104,18,0,18,86,15,60,9,2,160,63,37,24,2,0,80,17,59,52,5,2,0,9,7,7,0,2,2,0,34,33,1,1,0,92,68,21,0,0,0,3,0,11,7,0,1,3,0,54
"E33019935","E01033620","E02006899",2011,2606,1121,147,0,147,974,690,185,97,2,582,439,350,86,3,0,91,52,700,635,61,2,2,22,5,5,0,17,17,0,40,23,17,14,3,79,14,29,1,6,0,27,2,35,5,2,7,21,0,27
"E33019936","E01033622","E02006899",2011,233,67,11,1,10,56,17,36,3,0,78,55,37,16,1,1,15,8,52,17,6,23,6,8,3,3,0,5,5,0,12,8,4,4,0,9,2,4,1,0,0,2,0,2,1,0,1,0,0,5
"E33019937","E01033622","E02006899",2011,306,81,17,0,17,64,32,28,4,0,122,86,44,41,0,1,31,5,47,34,5,3,5,16,8,8,0,8,8,0,15,11,4,4,0,10,0,6,0,1,0,3,0,8,2,0,1,5,0,7
"E33019938","E01033622","E02006899",2011,677,229,26,0,26,203,144,51,8,0,225,164,125,32,4,3,42,19,163,122,24,17,0,9,2,2,0,7,7,0,9,5,4,4,0,25,3,8,0,3,0,10,1,10,5,0,2,3,0,7
"E33019939","E01033619","E02006898",2011,264,30,11,0,11,19,9,4,4,2,56,24,13,2,6,3,30,2,18,14,4,0,0,70,19,19,0,51,51,0,11,5,6,6,0,41,25,2,5,4,0,5,0,32,2,11,10,9,0,6
"E33019940","E01033619","E02006898",2011,420,54,14,0,14,40,20,14,5,1,112,52,34,14,4,0,50,10,52,31,9,12,0,15,8,8,0,7,7,0,30,18,12,12,0,117,92,12,3,5,0,5,0,17,1,2,5,9,0,23
"E33019941","E01033619","E02006898",2011,348,67,30,0,30,37,16,21,0,0,80,47,37,10,0,0,18,15,58,33,21,4,0,26,7,7,0,19,19,0,32,13,19,18,1,40,7,5,10,6,0,12,0,39,2,12,11,14,0,6
"E33019942","E01033623","E02006899",2011,324,87,27,0,27,60,43,12,4,1,51,21,15,4,2,0,24,6,40,25,7,8,0,40,16,16,0,24,24,0,31,7,24,23,1,49,1,5,15,25,0,3,0,20,1,3,10,6,0,6
"E33019943","E01033623","E02006899",2011,615,163,18,0,18,145,100,27,17,1,163,99,78,18,3,0,48,16,160,133,23,3,1,30,10,10,0,20,20,0,25,17,8,8,0,39,4,20,3,6,0,6,0,15,6,1,1,7,0,20
"E33019944","E01033623","E02006899",2011,600,106,30,0,30,76,23,43,8,2,176,115,77,30,6,2,45,16,107,70,18,17,2,59,38,38,0,21,20,1,22,12,10,8,2,59,9,30,11,3,0,6,0,38,2,7,12,17,0,33
"E33019945","E01033631","E02001905",2011,233,46,1,0,1,45,42,2,1,0,44,35,33,2,0,0,4,5,26,13,11,1,1,0,0,0,0,0,0,0,20,16,4,4,0,16,1,8,1,0,3,3,0,15,4,1,0,7,3,66
"E33019946","E01033631","E02001905",2011,576,204,30,0,30,174,152,18,3,1,190,144,133,7,2,2,23,23,87,68,9,10,0,2,1,1,0,1,1,0,23,15,8,8,0,17,3,10,1,0,0,3,0,39,0,0,33,5,1,14
"E33019947","E01009143","E02006897",2011,601,176,40,0,40,136,73,54,8,1,184,80,65,15,0,0,42,62,192,185,5,2,0,6,3,3,0,3,3,0,7,7,0,0,0,21,2,11,1,1,0,6,0,8,2,0,2,4,0,7
"E33019948","E01009143","E02006897",2011,447,20,4,0,4,16,10,4,1,1,84,48,39,3,5,1,27,9,55,14,35,4,2,93,24,24,0,69,69,0,26,16,10,7,3,103,11,81,2,6,0,3,0,40,7,2,13,18,0,26
"E33019949","E01009143","E02006897",2011,1166,232,57,0,57,175,75,89,7,4,419,280,218,53,9,0,97,42,240,119,109,5,7,24,16,16,0,8,8,0,36,25,11,8,3,133,90,20,3,5,1,10,4,29,8,9,2,10,0,53
"E33019950","E01033565","E02006898",2011,1072,76,23,0,23,53,13,39,1,0,297,149,120,27,2,0,104,44,547,343,204,0,0,16,3,3,0,13,13,0,24,19,5,4,1,37,7,16,2,1,0,11,0,9,1,1,1,6,0,66
"E33019951","E01033620","E02006899",2011,559,201,10,0,10,191,154,31,6,0,107,56,45,7,4,0,21,30,134,124,6,3,1,11,5,5,0,6,6,0,27,12,15,12,3,47,7,28,0,3,0,8,1,13,4,2,3,4,0,19
"E33019952","E01033620","E02006899",2011,350,46,15,0,15,31,12,16,2,1,125,86,81,5,0,0,35,4,53,43,9,1,0,4,4,4,0,0,0,0,24,20,4,4,0,37,7,20,1,0,0,9,0,34,25,1,1,7,0,27
"E33019953","E01033620","E02006899",2011,359,11,5,0,5,6,2,1,3,0,66,34,28,3,1,2,23,9,33,21,11,1,0,19,6,6,0,13,13,0,29,21,8,7,1,94,44,34,9,4,0,2,1,78,11,0,22,45,0,29
"E33019954","E01009342","E02001889",2011,1441,190,36,0,36,154,140,14,0,0,525,481,466,7,8,0,16,28,299,99,15,184,1,40,10,10,0,30,30,0,49,27,22,22,0,173,10,132,1,6,0,20,4,130,8,7,20,95,0,35
"E33019955","E01033622","E02006899",2011,443,91,15,0,15,76,51,6,19,0,141,89,64,17,7,1,42,10,57,42,7,7,1,26,10,10,0,16,16,0,20,14,6,5,1,39,10,7,3,9,0,10,0,40,13,2,14,11,0,29
"E33019956","E01033623","E02006899",2011,212,48,7,0,7,41,12,25,2,2,90,47,20,19,6,2,40,3,29,24,5,0,0,9,2,2,0,7,7,0,8,8,0,0,0,8,3,2,1,1,0,1,0,6,1,0,1,4,0,14
"E33019957","E01009239","E02001859",2011,1563,580,24,0,24,556,495,55,6,0,291,205,186,18,1,0,60,26,223,186,27,9,1,13,1,1,0,12,12,0,64,28,36,35,1,84,2,37,8,6,0,15,16,185,2,5,144,34,0,123
"E33019958","E01009239","E02001859",2011,698,73,14,0,14,59,10,47,2,0,153,62,30,30,2,0,70,21,95,64,30,1,0,34,12,12,0,22,22,0,57,34,23,22,1,109,14,44,19,13,1,18,0,162,3,7,74,78,0,15
"E33019959","E01009239","E02001859",2011,535,35,12,0,12,23,14,3,5,1,57,34,29,3,2,0,9,14,30,26,3,1,0,21,2,2,0,19,19,0,88,52,36,27,9,88,3,9,28,45,0,3,0,202,1,19,50,132,0,14
"E33019960","E01008914","E02001876",2011,248,29,16,0,16,13,4,9,0,0,40,9,6,3,0,0,18,13,31,19,10,2,0,18,9,9,0,9,9,0,17,9,8,7,1,42,19,4,5,7,0,7,0,60,3,12,14,31,0,11
"E33019961","E01008914","E02001876",2011,215,20,8,0,8,12,5,6,0,1,31,17,12,1,4,0,12,2,25,15,6,4,0,25,11,11,0,14,14,0,31,14,17,15,2,29,4,8,11,3,0,3,0,51,0,3,35,13,0,3
"E33019962","E01008914","E02001876",2011,246,33,12,0,12,21,7,10,4,0,48,28,18,10,0,0,18,2,28,20,7,1,0,20,9,9,0,11,11,0,23,13,10,10,0,48,16,4,15,13,0,0,0,32,0,9,12,11,0,14
"E33019963","E01008914","E02001876",2011,227,16,10,0,10,6,2,4,0,0,68,8,7,1,0,0,8,52,68,8,48,11,1,8,3,3,0,5,5,0,19,6,13,13,0,26,0,5,14,5,0,2,0,20,1,4,13,2,0,2
"E33019964","E01008914","E02001876",2011,224,17,10,0,10,7,3,4,0,0,28,7,4,3,0,0,16,5,19,13,3,2,1,15,7,7,0,8,8,0,47,9,38,37,1,44,2,5,12,24,0,1,0,52,2,3,37,10,0,2
"E33019965","E01008914","E02001876",2011,444,53,31,0,31,22,9,10,3,0,68,41,30,11,0,0,21,6,45,30,14,0,1,24,14,14,0,10,10,0,88,26,62,61,1,93,5,3,31,50,0,4,0,64,1,15,25,23,0,9
"E33019966","E01009418","E02001827",2011,284,42,6,0,6,36,8,9,12,7,66,35,14,8,11,2,26,5,31,10,16,2,3,72,16,16,0,56,56,0,22,11,11,9,2,25,3,3,2,5,0,12,0,21,7,0,8,5,1,5
"E33019966","E01009433","E02001827",2011,284,42,6,0,6,36,8,9,12,7,66,35,14,8,11,2,26,5,31,10,16,2,3,72,16,16,0,56,56,0,22,11,11,9,2,25,3,3,2,5,0,12,0,21,7,0,8,5,1,5
"E33019967","E01009418","E02001827",2011,635,74,9,0,9,65,13,25,22,5,184,130,78,15,31,6,38,16,61,21,35,2,3,146,17,17,0,129,128,1,32,22,10,10,0,60,6,32,2,4,0,0,16,52,33,1,9,9,0,26
"E33019967","E01009433","E02001827",2011,635,74,9,0,9,65,13,25,22,5,184,130,78,15,31,6,38,16,61,21,35,2,3,146,17,17,0,129,128,1,32,22,10,10,0,60,6,32,2,4,0,0,16,52,33,1,9,9,0,26
"E33019967","E01009419","E02001827",2011,635,74,9,0,9,65,13,25,22,5,184,130,78,15,31,6,38,16,61,21,35,2,3,146,17,17,0,129,128,1,32,22,10,10,0,60,6,32,2,4,0,0,16,52,33,1,9,9,0,26
"E33019967","E01009417","E02001827",2011,635,74,9,0,9,65,13,25,22,5,184,130,78,15,31,6,38,16,61,21,35,2,3,146,17,17,0,129,128,1,32,22,10,10,0,60,6,32,2,4,0,0,16,52,33,1,9,9,0,26
"E33019968","E01009415","E02001828",2011,258,55,9,1,8,46,15,13,15,3,73,50,23,7,20,0,21,2,31,25,3,1,2,59,6,6,0,53,52,1,9,4,5,5,0,15,2,5,1,3,0,4,0,8,2,1,5,0,0,8
"E33019968","E01009423","E02001828",2011,258,55,9,1,8,46,15,13,15,3,73,50,23,7,20,0,21,2,31,25,3,1,2,59,6,6,0,53,52,1,9,4,5,5,0,15,2,5,1,3,0,4,0,8,2,1,5,0,0,8
"E33019969","E01009423","E02001828",2011,437,39,11,0,11,28,9,15,2,2,83,47,25,11,8,3,26,10,60,51,6,1,2,60,18,18,0,42,41,1,64,22,42,37,5,65,47,12,1,0,0,5,0,31,12,4,3,12,0,35
"E33019969","E01009425","E02001828",2011,437,39,11,0,11,28,9,15,2,2,83,47,25,11,8,3,26,10,60,51,6,1,2,60,18,18,0,42,41,1,64,22,42,37,5,65,47,12,1,0,0,5,0,31,12,4,3,12,0,35
"E33019970","E01009425","E02001828",2011,420,25,6,0,6,19,11,7,1,0,194,169,161,1,6,1,13,12,47,19,25,1,2,38,8,8,0,30,29,1,15,6,9,9,0,37,1,28,1,1,0,5,1,31,14,1,1,15,0,33
"E33019970","E01009415","E02001828",2011,420,25,6,0,6,19,11,7,1,0,194,169,161,1,6,1,13,12,47,19,25,1,2,38,8,8,0,30,29,1,15,6,9,9,0,37,1,28,1,1,0,5,1,31,14,1,1,15,0,33
"E33019970","E01009422","E02001828",2011,420,25,6,0,6,19,11,7,1,0,194,169,161,1,6,1,13,12,47,19,25,1,2,38,8,8,0,30,29,1,15,6,9,9,0,37,1,28,1,1,0,5,1,31,14,1,1,15,0,33
"E33019971","E01009425","E02001828",2011,475,63,10,1,9,53,36,6,11,0,119,60,44,7,6,3,49,10,78,61,8,3,6,50,20,20,0,30,30,0,30,17,13,13,0,69,23,24,0,1,0,21,0,41,26,2,4,9,0,25
"E33019972","E01009422","E02001828",2011,496,58,10,0,10,48,7,16,19,6,102,67,38,12,14,3,30,5,61,42,11,6,2,104,28,28,0,76,75,1,24,14,10,10,0,68,19,43,2,1,0,2,1,52,29,7,5,11,0,27
"E33019972","E01009425","E02001828",2011,496,58,10,0,10,48,7,16,19,6,102,67,38,12,14,3,30,5,61,42,11,6,2,104,28,28,0,76,75,1,24,14,10,10,0,68,19,43,2,1,0,2,1,52,29,7,5,11,0,27
"E33019973","E01009420","E02001829",2011,364,56,11,0,11,45,12,18,13,2,96,67,34,9,17,7,23,6,48,19,26,2,1,99,10,10,0,89,86,3,14,9,5,5,0,24,5,11,4,1,0,2,1,21,10,0,4,7,0,6
"E33019973","E01009426","E02001829",2011,364,56,11,0,11,45,12,18,13,2,96,67,34,9,17,7,23,6,48,19,26,2,1,99,10,10,0,89,86,3,14,9,5,5,0,24,5,11,4,1,0,2,1,21,10,0,4,7,0,6
"E33019973","E01009416","E02001829",2011,364,56,11,0,11,45,12,18,13,2,96,67,34,9,17,7,23,6,48,19,26,2,1,99,10,10,0,89,86,3,14,9,5,5,0,24,5,11,4,1,0,2,1,21,10,0,4,7,0,6
"E33019974","E01009416","E02001829",2011,324,46,7,0,7,39,8,15,8,8,73,46,15,5,23,3,23,4,21,14,4,2,1,94,20,18,2,74,72,2,25,13,12,12,0,30,12,7,3,2,3,2,1,24,6,1,9,8,0,11
"E33019975","E01009431","E02001829",2011,367,56,10,0,10,46,12,13,18,3,118,94,69,8,13,4,7,17,65,20,38,4,3,58,6,6,0,52,52,0,11,7,4,3,1,27,3,20,0,1,0,0,3,26,19,0,3,4,0,6
"E33019975","E01009429","E02001829",2011,367,56,10,0,10,46,12,13,18,3,118,94,69,8,13,4,7,17,65,20,38,4,3,58,6,6,0,52,52,0,11,7,4,3,1,27,3,20,0,1,0,0,3,26,19,0,3,4,0,6
"E33019975","E01009426","E02001829",2011,367,56,10,0,10,46,12,13,18,3,118,94,69,8,13,4,7,17,65,20,38,4,3,58,6,6,0,52,52,0,11,7,4,3,1,27,3,20,0,1,0,0,3,26,19,0,3,4,0,6
"E33019976","E01009431","E02001829",2011,412,38,7,0,7,31,8,10,12,1,83,45,27,2,15,1,34,4,34,24,6,3,1,76,23,23,0,53,53,0,48,40,8,8,0,35,9,21,1,1,0,3,0,53,31,7,5,10,0,45
"E33019976","E01009426","E02001829",2011,412,38,7,0,7,31,8,10,12,1,83,45,27,2,15,1,34,4,34,24,6,3,1,76,23,23,0,53,53,0,48,40,8,8,0,35,9,21,1,1,0,3,0,53,31,7,5,10,0,45
"E33019976","E01009429","E02001829",2011,412,38,7,0,7,31,8,10,12,1,83,45,27,2,15,1,34,4,34,24,6,3,1,76,23,23,0,53,53,0,48,40,8,8,0,35,9,21,1,1,0,3,0,53,31,7,5,10,0,45
"E33019977","E01009424","E02001830",2011,421,43,12,0,12,31,2,12,12,5,102,63,21,5,32,5,30,9,39,27,7,3,2,65,13,13,0,52,51,1,43,25,18,17,1,35,5,18,1,5,1,5,0,52,35,2,1,11,3,42
