"wz11cd","lsoa11cd","msoa11cd","date","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"E33018268","E01009329","E02001896",2011,222,0,0,30,13,1,0,1,2,2,11,0,0,5,52,42,15,2,13,9,11,8,4,5,15,11,0,0
"E33018269","E01009329","E02001896",2011,385,0,0,26,12,1,1,0,3,3,6,0,1,8,123,10,30,3,59,5,20,34,1,43,6,16,0,0
"E33018270","E01009339","E02006901",2011,390,0,0,140,4,1,0,3,62,32,38,2,65,16,41,20,12,25,1,1,8,23,2,9,6,19,0,0
"E33018271","E01009338","E02001896",2011,1471,0,0,62,9,0,6,4,16,13,14,3,1,142,288,34,18,749,23,6,15,62,5,8,14,41,0,0
"E33018272","E01009340","E02006901",2011,741,1,0,283,4,0,20,13,104,52,90,1,2,44,77,151,8,3,2,1,10,124,6,2,21,5,0,0
"E33018273","E01009339","E02006901",2011,207,0,0,124,2,3,0,79,5,1,34,1,13,10,31,12,8,1,0,1,0,2,0,2,1,1,0,0
"E33018274","E01009339","E02006901",2011,1079,0,0,120,15,0,0,13,28,28,36,1,9,21,203,24,5,574,2,2,9,16,8,4,6,75,0,0
"E33018275","E01009341","E02001892",2011,4359,0,0,21,0,2,0,1,5,4,9,4,3,21,98,49,54,25,30,6,42,86,73,79,3727,40,1,0
"E33018276","E01009332","E02006900",2011,793,1,0,61,3,0,0,3,45,6,4,1,1,22,27,458,6,3,3,7,4,14,26,141,11,7,0,0
"E33018277","E01009332","E02006900",2011,443,1,0,25,18,1,0,0,0,5,1,0,0,35,129,8,41,3,20,5,13,26,14,38,71,14,0,0
"E33018278","E01009349","E02001862",2011,360,0,0,50,2,1,0,5,29,5,8,1,0,9,218,9,34,1,0,1,20,7,1,2,5,2,0,0
"E33018279","E01033635","E02001865",2011,276,0,0,4,3,0,0,0,0,0,1,0,0,3,19,4,10,2,24,0,6,5,8,122,64,5,0,0
"E33018280","E01033635","E02001865",2011,535,3,0,18,6,1,0,0,3,2,6,1,0,10,202,12,22,3,19,13,13,14,23,11,150,21,0,0
"E33018281","E01009354","E02001862",2011,228,0,0,40,0,9,1,11,9,7,3,0,1,14,60,8,7,1,35,7,8,13,3,7,21,3,0,0
"E33018282","E01009379","E02001897",2011,573,2,0,41,2,5,0,0,4,24,6,0,1,8,103,18,48,3,27,7,20,21,9,124,104,36,1,0
"E33018283","E01009364","E02001897",2011,448,0,0,50,4,1,1,1,14,4,25,0,0,18,71,9,12,2,1,0,7,11,9,216,36,6,0,0
"E33018284","E01009364","E02001897",2011,367,0,0,144,0,0,0,3,44,12,85,1,0,36,66,2,7,3,5,0,6,9,10,52,25,1,0,0
"E33018285","E01009364","E02001897",2011,372,0,0,181,0,2,0,5,101,48,25,0,0,17,109,14,4,3,1,2,7,8,3,6,13,4,0,0
"E33018286","E01009378","E02006896",2011,517,0,0,177,4,28,0,1,66,22,56,2,1,19,51,27,15,37,5,3,26,22,3,92,17,20,0,0
"E33018287","E01009367","E02001909",2011,195,0,0,146,1,2,7,57,42,22,15,2,1,3,23,3,2,0,2,1,3,2,1,0,1,5,0,0
"E33018288","E01009367","E02001909",2011,234,0,0,12,3,0,0,1,2,3,3,1,0,16,62,4,13,4,1,8,9,4,13,31,33,23,0,0
"E33018289","E01009367","E02001909",2011,392,2,0,21,1,0,0,0,7,3,10,1,0,4,44,1,7,2,0,0,4,8,57,223,7,11,0,0
"E33018290","E01009371","E02001903",2011,274,0,0,30,8,2,0,0,8,4,8,0,0,7,114,6,27,2,11,1,25,18,0,3,13,17,0,0
"E33018291","E01033641","E02006901",2011,423,0,0,64,1,0,0,2,11,39,11,1,4,6,70,6,7,5,4,1,5,14,4,150,71,11,0,0
"E33018292","E01009400","E02001857",2011,768,0,0,112,1,1,3,0,19,80,8,1,1,4,391,141,16,6,43,2,15,16,0,5,9,5,0,1
"E33018293","E01009400","E02001857",2011,491,0,0,34,1,0,0,0,17,6,10,79,1,177,76,28,10,3,2,4,11,22,6,18,9,11,0,0
"E33018294","E01009400","E02001857",2011,551,0,2,236,7,0,6,16,10,167,30,9,0,30,146,19,3,8,6,5,26,35,8,4,3,11,0,0
"E33018295","E01009423","E02001828",2011,759,0,0,12,3,1,0,0,3,4,1,0,1,15,363,24,33,7,15,22,31,45,13,63,81,34,0,0
"E33018296","E01009424","E02001830",2011,360,0,0,2,0,1,0,1,0,0,0,0,0,6,8,8,28,2,1,10,13,2,77,6,20,177,0,0
"E33018297","E01009424","E02001830",2011,598,0,0,4,1,0,0,1,0,0,2,1,0,11,11,3,1,39,2,1,6,24,464,6,19,6,0,0
"E33018298","E01009432","E02001832",2011,696,0,0,157,1,0,1,6,68,54,27,2,0,112,223,22,7,12,8,0,46,25,47,16,11,7,1,0
"E33018299","E01009449","E02001835",2011,343,1,0,1,0,1,0,0,0,0,0,2,1,8,29,4,48,0,120,1,13,13,8,14,72,7,1,0
"E33018300","E01009450","E02001838",2011,553,17,0,299,4,0,2,3,162,111,17,1,0,30,47,20,6,7,6,1,26,13,6,18,32,24,0,0
"E33018301","E01009443","E02001847",2011,981,0,0,22,1,0,0,7,2,7,5,0,17,30,792,15,23,1,5,3,7,34,4,7,16,5,0,0
"E33018302","E01009443","E02001847",2011,727,0,0,271,2,1,7,17,158,63,23,1,2,27,274,19,7,30,13,1,22,30,4,6,12,8,0,0
"E33018303","E01009441","E02001847",2011,445,0,0,13,8,0,0,0,0,3,2,1,1,4,156,236,5,2,5,0,1,12,2,1,1,5,0,0
"E33018304","E01009441","E02001847",2011,1078,1,0,460,80,2,3,222,22,68,63,2,139,33,219,116,11,5,1,3,5,48,5,6,7,16,1,0
"E33018305","E01009449","E02001835",2011,248,0,0,4,0,0,0,0,0,0,4,0,1,9,17,3,5,4,56,21,29,32,2,7,29,29,0,0
"E33018306","E01009449","E02001835",2011,319,0,0,10,0,7,0,0,0,1,2,0,0,3,110,3,68,11,58,1,5,11,1,4,9,25,0,0
"E33018307","E01009449","E02001835",2011,336,0,0,15,0,0,0,1,1,6,7,1,1,22,112,2,60,9,33,1,10,23,8,4,20,15,0,0
"E33018308","E01009449","E02001835",2011,744,0,0,8,1,0,0,1,3,2,1,0,7,23,415,0,25,7,19,8,146,27,3,7,7,42,0,0
"E33018309","E01009449","E02001835",2011,600,0,0,11,0,0,0,2,2,5,2,0,1,2,463,22,38,1,9,2,9,12,1,5,10,14,0,0
"E33018310","E01009449","E02001835",2011,559,0,0,8,0,0,0,2,1,2,3,1,0,5,73,3,78,3,10,1,127,44,4,166,17,18,0,1
"E33018311","E01009474","E02001836",2011,610,0,0,21,2,2,1,2,6,4,4,0,0,24,152,8,102,9,20,81,39,23,15,18,28,70,0,0
"E33018312","E01009456","E02001844",2011,315,0,0,35,0,13,1,2,2,8,9,4,11,40,39,18,8,4,6,16,27,19,14,44,10,20,0,0
"E33018313","E01009478","E02001874",2011,821,0,0,33,3,2,0,1,20,6,1,2,0,20,49,575,18,6,3,5,6,78,5,6,7,8,0,0
"E33018314","E01009483","E02001877",2011,520,0,0,42,8,1,0,1,4,20,8,1,5,24,201,105,15,2,2,0,8,19,12,18,42,24,0,0
"E33019808","E01009378","E02006896",2011,405,0,0,20,1,0,0,0,0,1,18,1,0,16,15,6,48,2,7,1,4,21,212,4,41,7,0,0
"E33019809","E01033559","E02001875",2011,266,2,0,50,0,2,0,3,6,3,36,0,0,6,40,6,5,12,6,10,56,43,3,1,4,22,0,0
"E33019810","E01033559","E02001875",2011,307,0,0,189,1,0,7,1,2,1,177,0,1,4,28,3,1,1,20,1,14,2,2,0,4,37,0,0
"E33019811","E01033559","E02001875",2011,294,0,0,99,1,7,0,2,14,7,68,1,0,4,50,2,5,0,1,6,57,14,3,3,13,36,0,0
"E33019812","E01033559","E02001875",2011,396,0,0,100,1,3,0,11,13,3,69,1,0,12,136,11,6,8,7,7,29,17,4,2,20,30,0,6
"E33019813","E01033559","E02001875",2011,225,0,0,149,3,17,0,1,62,10,56,0,3,20,23,2,3,1,2,0,0,9,1,10,1,1,0,0
"E33019814","E01033559","E02001875",2011,238,2,0,20,0,2,0,2,2,4,10,0,0,1,46,16,5,22,0,4,28,18,13,13,36,14,0,0
"E33019815","E01033559","E02001875",2011,208,0,0,36,0,2,0,1,31,2,0,0,0,4,20,5,16,2,30,1,9,2,0,73,3,7,0,0
"E33019816","E01033559","E02001875",2011,224,0,0,83,21,0,12,3,12,11,24,0,0,14,17,36,9,9,0,1,9,8,1,27,1,9,0,0
"E33019817","E01033559","E02001875",2011,307,0,0,18,0,4,0,0,11,1,2,1,0,17,73,2,2,23,9,7,43,32,1,11,44,24,0,0
"E33019818","E01033559","E02001875",2011,446,0,0,118,3,1,4,4,13,3,90,0,0,9,201,10,20,12,6,3,12,19,0,2,5,28,0,1
"E33019819","E01033561","E02001876",2011,239,0,0,10,0,0,1,2,5,1,1,0,0,11,71,17,9,0,0,0,5,21,53,20,5,17,0,0
"E33019820","E01033561","E02001876",2011,595,0,2,15,1,0,0,0,0,1,13,0,2,28,20,7,17,6,2,13,84,47,7,247,9,89,0,0
"E33019821","E01033561","E02001876",2011,236,0,0,71,0,1,0,4,46,3,17,0,2,11,59,4,9,1,1,27,41,1,1,0,2,6,0,0
"E33019822","E01033561","E02001876",2011,411,1,0,66,1,5,22,4,14,11,9,0,0,21,86,21,49,6,2,1,20,10,36,23,51,18,0,0
"E33019823","E01033561","E02001876",2011,1444,0,0,38,3,5,1,7,12,5,5,1,4,8,1118,53,113,10,4,2,1,25,6,13,13,35,0,0
"E33019824","E01033561","E02001876",2011,865,4,0,17,1,0,2,1,4,3,6,1,175,46,68,21,23,135,6,5,67,71,90,22,78,36,0,0
"E33019825","E01033562","E02001913",2011,237,0,0,2,0,0,0,1,0,1,0,0,0,3,0,2,7,2,1,2,5,1,8,67,136,1,0,0
"E33019826","E01033562","E02001913",2011,459,0,0,7,0,2,0,0,1,3,1,0,0,5,11,3,7,1,3,2,7,9,14,35,348,7,0,0
"E33019827","E01033562","E02001913",2011,1615,0,0,9,0,1,0,0,0,3,5,0,1,53,35,5,24,4,4,1,9,37,35,33,1355,10,0,0
"E33019828","E01033562","E02001913",2011,1687,0,0,7,0,3,0,0,0,3,1,0,2,5,44,3,20,6,6,3,26,10,19,57,1460,19,0,0
"E33019829","E01033562","E02001913",2011,4392,0,0,23,2,0,0,5,1,11,4,5,7,59,76,27,72,18,16,4,43,49,124,146,3704,19,0,0
"E33019830","E01033616","E02006896",2011,317,0,0,28,2,0,0,0,13,5,8,1,1,40,29,7,53,18,6,0,84,18,2,6,14,10,0,0
"E33019831","E01033615","E02006896",2011,292,0,0,7,0,0,0,0,2,2,3,0,1,10,52,8,3,33,19,5,42,76,2,4,16,14,0,0
"E33019832","E01033615","E02006896",2011,309,0,0,3,0,2,0,0,1,0,0,4,0,18,30,9,25,24,26,4,11,63,8,4,38,41,0,1
"E33019833","E01033615","E02006896",2011,1386,0,0,9,3,2,0,1,0,2,1,1,1,7,1132,10,121,11,11,3,9,17,7,8,11,28,0,0
"E33019834","E01033615","E02006896",2011,828,0,0,24,6,2,2,1,2,6,5,1,1,4,262,32,255,10,4,18,17,46,16,58,22,57,1,0
"E33019835","E01033615","E02006896",2011,1266,0,0,9,0,0,0,2,4,2,1,1,10,13,33,8,26,100,561,3,58,30,311,70,21,12,0,0
"E33019836","E01033615","E02006896",2011,397,0,0,12,0,0,0,0,3,2,7,0,0,41,52,226,6,10,7,0,11,20,6,2,2,2,0,0
"E33019837","E01033615","E02006896",2011,287,0,0,4,0,0,0,1,0,0,3,0,0,4,43,20,11,8,0,0,5,22,86,55,4,25,0,0
"E33019838","E01033615","E02006896",2011,319,0,0,3,1,0,0,1,0,0,1,0,0,23,37,2,87,1,1,7,35,22,7,10,13,71,0,0
"E33019839","E01033615","E02006896",2011,2020,2,0,22,5,3,0,1,1,6,6,0,3,16,1486,12,223,19,36,11,14,105,16,9,16,30,0,0
"E33019840","E01033615","E02006896",2011,261,0,0,1,0,0,0,1,0,0,0,0,0,1,25,1,190,0,0,1,1,6,1,9,4,21,0,0
"E33019841","E01033615","E02006896",2011,827,0,0,11,2,0,0,0,6,1,2,1,1,30,34,14,35,2,2,2,144,13,460,51,15,12,0,0
"E33019842","E01033615","E02006896",2011,320,1,0,1,0,0,0,0,0,1,0,0,1,6,17,30,35,9,3,5,23,19,49,83,30,8,0,0
"E33019843","E01033615","E02006896",2011,335,0,0,8,3,0,0,1,0,2,2,0,0,1,214,4,33,1,5,5,4,8,1,3,9,39,0,0
"E33019844","E01033557","E02006895",2011,896,0,0,9,0,1,0,0,1,5,2,2,1,23,8,8,50,21,5,19,36,42,620,24,28,0,0,0
"E33019845","E01033617","E02001876",2011,598,0,0,3,0,0,0,0,1,0,2,0,1,3,12,0,0,1,4,1,8,15,513,2,34,1,0,0
"E33019846","E01033617","E02001876",2011,349,0,0,3,1,0,0,0,0,1,1,0,0,16,2,16,1,1,4,9,270,8,3,0,9,7,0,0
"E33019847","E01033617","E02001876",2011,894,0,0,3,0,0,0,0,1,1,1,0,2,7,6,3,22,3,6,0,8,16,154,10,653,1,0,0
"E33019848","E01033617","E02001876",2011,204,0,0,62,1,6,1,0,22,8,24,0,0,1,48,8,3,11,1,10,27,5,6,0,17,5,0,0
"E33019849","E01033617","E02001876",2011,1180,0,0,5,0,0,0,1,2,0,2,2,0,5,8,12,58,9,108,2,814,33,6,8,105,4,1,0
"E33019850","E01033617","E02001876",2011,348,0,0,3,1,1,0,0,0,0,1,0,0,0,5,0,13,3,4,9,105,12,2,2,170,20,0,0
"E33019851","E01033617","E02001876",2011,1138,0,0,15,1,1,0,0,3,5,5,3,0,7,53,436,40,4,20,5,77,58,369,25,15,11,0,0
"E33019852","E01033617","E02001876",2011,2900,1,0,16,2,1,0,2,3,3,5,5,1,15,41,19,47,13,19,7,95,23,36,123,2421,18,0,0
"E33019853","E01033617","E02001876",2011,344,0,0,4,0,0,0,1,0,2,1,1,0,3,35,14,27,3,1,21,104,7,7,32,60,25,0,0
"E33019854","E01033617","E02001876",2011,2997,0,0,23,0,1,0,1,9,6,6,9,2,248,23,41,16,23,53,16,583,50,1821,27,48,14,0,0
"E33019855","E01033617","E02001876",2011,364,0,0,4,1,0,0,0,2,1,0,0,0,6,7,1,18,2,14,5,112,5,44,77,53,16,0,0
"E33019856","E01033619","E02006898",2011,207,0,0,84,0,2,0,2,23,7,50,0,2,17,9,8,1,23,7,2,29,10,3,1,4,7,0,0
"E33019857","E01033619","E02006898",2011,268,0,0,114,1,0,0,1,67,18,27,0,0,25,10,13,1,9,15,4,25,7,3,3,10,29,0,0
"E33019858","E01009378","E02006896",2011,226,0,0,65,0,11,0,0,6,1,47,0,11,6,20,1,1,0,3,76,9,6,2,1,21,4,0,0
"E33019859","E01009378","E02006896",2011,200,0,0,93,9,0,13,2,36,15,18,0,9,4,41,6,5,1,2,0,21,9,0,2,3,4,0,0
"E33019860","E01009378","E02006896",2011,384,0,0,194,2,15,0,6,109,31,31,1,1,37,47,11,22,4,2,0,16,22,4,12,7,4,0,0
"E33019861","E01009378","E02006896",2011,516,0,0,11,0,1,0,0,6,0,4,0,1,14,14,313,14,7,2,4,111,9,9,0,4,3,0,0
"E33019862","E01009378","E02006896",2011,257,0,0,11,0,0,1,0,4,5,1,0,1,6,95,10,10,5,17,4,1,23,51,3,15,4,0,1
"E33019863","E01009378","E02006896",2011,310,0,0,63,4,16,0,2,16,11,14,0,1,8,56,3,8,2,0,5,8,8,7,14,115,12,0,0
"E33019864","E01033620","E02006899",2011,426,0,0,6,0,2,0,0,2,1,1,0,0,2,55,8,32,33,52,3,64,27,54,27,53,10,0,0
"E33019865","E01033561","E02001876",2011,357,0,0,7,0,0,0,2,2,1,2,0,0,14,14,6,3,36,10,12,170,26,1,9,38,11,0,0
"E33019866","E01033561","E02001876",2011,406,0,0,32,14,0,0,4,0,10,4,4,0,25,50,2,8,80,6,12,76,47,9,22,22,11,0,0
"E33019867","E01033561","E02001876",2011,228,0,0,43,0,2,0,1,3,22,15,2,4,13,96,19,6,1,3,1,3,32,2,2,1,0,0,0
"E33019868","E01033561","E02001876",2011,1939,1,0,11,1,1,0,1,1,4,3,2,0,13,37,4,51,11,4,13,45,56,15,1604,36,36,0,0
"E33019869","E01033561","E02001876",2011,254,0,0,75,0,0,0,1,35,8,31,0,3,40,72,6,21,1,4,0,17,6,3,3,2,1,0,0
"E33019870","E01033561","E02001876",2011,1577,0,1,221,1,4,4,6,5,8,193,4,3,27,141,32,47,24,29,14,47,105,314,119,420,29,0,0
"E33019871","E01033561","E02001876",2011,305,0,0,71,0,20,0,2,29,4,16,1,0,4,74,19,3,10,8,5,81,18,2,6,3,0,0,0
"E33019872","E01033561","E02001876",2011,474,0,0,12,1,1,0,0,3,6,1,0,2,7,42,19,6,3,194,0,23,91,4,43,24,4,0,0
"E33019873","E01033561","E02001876",2011,397,0,0,8,0,0,0,0,1,5,2,1,0,8,14,5,32,14,5,1,36,12,235,16,6,3,0,1
"E33019874","E01009345","E02001879",2011,1090,0,0,101,9,3,0,3,60,11,15,2,2,54,59,25,14,7,1,2,10,11,703,46,43,10,0,0
"E33019875","E01033620","E02006899",2011,310,0,0,2,0,0,0,0,1,1,0,0,1,0,5,6,3,242,4,0,7,30,3,1,3,3,0,0
"E33019876","E01033620","E02006899",2011,515,0,0,3,0,0,0,0,0,0,3,1,1,5,4,2,15,5,79,3,360,18,4,5,6,4,0,0
"E33019877","E01033620","E02006899",2011,406,0,0,0,0,0,0,0,0,0,0,0,0,13,14,3,17,2,92,14,32,141,8,54,2,14,0,0
"E33019878","E01033620","E02006899",2011,697,0,0,4,0,0,0,1,1,0,2,2,0,2,9,3,35,17,18,1,581,14,6,2,1,2,0,0
"E33019879","E01033620","E02006899",2011,1925,3,0,80,17,2,1,5,18,26,11,2,15,69,191,97,152,26,35,27,151,101,332,265,224,154,0,1
"E33019880","E01033620","E02006899",2011,390,0,0,7,0,0,0,0,2,2,3,0,1,6,4,2,32,2,74,47,48,51,103,3,6,4,0,0
"E33019881","E01033620","E02006899",2011,1589,0,0,3,0,0,0,0,0,0,3,2,0,12,14,9,13,6,88,134,1236,32,7,7,13,13,0,0
"E33019882","E01033620","E02006899",2011,1138,0,0,7,1,0,0,0,2,2,2,1,3,25,47,1,36,44,404,24,400,86,16,10,14,20,0,0
"E33019883","E01033620","E02006899",2011,294,3,0,19,1,0,0,0,1,5,12,0,2,3,13,15,20,1,31,5,15,86,1,9,17,54,0,0
"E33019884","E01033620","E02006899",2011,512,0,0,9,1,1,0,0,0,2,5,0,1,1,138,14,54,10,122,1,45,54,4,0,21,37,0,1
"E33019885","E01033620","E02006899",2011,254,0,0,2,0,0,0,1,1,0,0,1,0,9,3,1,5,2,52,3,111,15,4,1,41,4,0,0
"E33019886","E01033620","E02006899",2011,1743,0,0,10,1,2,0,2,0,0,5,1,2,12,10,7,47,2,1019,21,512,51,18,17,11,3,0,0
"E33019887","E01033620","E02006899",2011,1341,1,0,12,3,0,0,0,1,6,2,2,1,17,19,4,14,31,316,5,73,28,166,574,47,31,0,0
"E33019888","E01033620","E02006899",2011,1063,0,0,14,11,0,0,0,0,0,3,0,1,17,20,68,10,4,277,201,107,25,300,8,9,2,0,0
"E33019889","E01033620","E02006899",2011,409,0,0,2,0,0,0,0,1,1,0,1,0,8,6,1,2,1,35,7,322,16,1,3,3,1,0,0
"E33019890","E01033620","E02006899",2011,1440,0,0,9,4,0,0,0,2,3,0,1,1,7,18,8,70,13,887,58,127,184,10,17,24,6,0,0
"E33019891","E01033620","E02006899",2011,907,0,0,5,0,0,0,0,2,1,2,3,1,7,70,7,53,2,166,4,496,50,3,8,4,27,0,1
"E33019892","E01033620","E02006899",2011,1291,0,0,7,0,0,0,1,0,5,1,1,0,1,77,3,8,9,757,16,70,60,177,7,82,15,1,0
"E33019893","E01033620","E02006899",2011,769,0,0,15,3,0,0,5,1,4,2,0,3,23,44,57,59,10,81,22,86,185,11,56,91,25,1,0
"E33019894","E01033620","E02006899",2011,676,0,0,2,1,0,0,0,0,0,1,1,10,2,6,34,4,2,2,5,300,22,53,8,4,221,0,0
"E33019895","E01033620","E02006899",2011,985,0,0,0,0,0,0,0,0,0,0,1,0,3,8,6,47,3,832,7,34,19,5,6,8,6,0,0
"E33019896","E01033620","E02006899",2011,485,1,0,1,0,0,0,0,0,1,0,5,0,8,9,2,32,2,30,12,293,22,8,27,27,6,0,0
"E33019897","E01033620","E02006899",2011,198,0,0,2,0,2,0,0,0,0,0,0,0,7,15,1,49,1,2,1,3,37,1,0,42,29,0,8
"E33019898","E01033620","E02006899",2011,391,0,0,2,1,0,0,0,0,0,1,0,1,7,2,0,1,2,75,0,129,89,8,39,16,19,0,1
"E33019899","E01033620","E02006899",2011,855,0,0,13,2,0,0,1,1,3,6,0,2,10,13,4,50,15,322,9,178,70,6,99,25,39,0,0
"E33019900","E01033620","E02006899",2011,988,0,0,10,1,0,0,0,3,2,4,5,0,35,82,539,49,7,16,1,59,93,28,23,15,26,0,0
"E33019901","E01033620","E02006899",2011,273,0,0,2,1,0,0,0,0,1,0,0,0,0,56,2,25,11,5,19,47,24,16,16,8,42,0,0
"E33019902","E01033620","E02006899",2011,496,1,0,1,0,0,0,0,0,1,0,0,0,5,10,0,12,2,4,8,6,56,72,17,22,280,0,0
"E33019903","E01033620","E02006899",2011,1354,0,0,7,0,0,0,1,0,1,5,0,1,26,17,24,11,8,5,200,31,37,650,163,160,14,0,0
"E33019904","E01033620","E02006899",2011,1824,0,0,11,0,3,0,1,2,3,2,1,1,27,17,1,42,8,66,59,1516,38,6,11,14,5,0,1
"E33019905","E01033620","E02006899",2011,410,0,1,6,0,0,1,1,1,3,0,8,0,17,1,58,31,5,118,3,133,19,4,0,2,4,0,0
"E33019906","E01033620","E02006899",2011,313,1,0,3,0,0,0,1,0,0,2,0,0,4,3,2,6,2,97,4,51,47,3,3,0,87,0,0
"E33019907","E01033620","E02006899",2011,614,0,1,11,2,0,1,0,1,5,2,1,1,8,15,7,24,287,2,14,34,32,21,16,120,20,0,0
"E33019908","E01033625","E02006899",2011,1352,1,0,31,3,0,1,1,15,4,7,1,9,123,10,76,6,10,33,5,624,33,327,6,12,45,0,0
"E33019909","E01033625","E02006899",2011,2021,1,0,42,1,1,0,4,8,11,17,1,3,90,187,622,354,482,11,3,34,36,15,31,37,72,0,0
"E33019910","E01033625","E02006899",2011,329,3,0,4,1,0,0,0,0,3,0,0,0,19,64,27,51,46,3,11,54,21,7,5,8,6,0,0
"E33019911","E01033625","E02006899",2011,282,0,0,2,1,0,0,0,0,1,0,0,1,7,45,45,15,13,9,6,6,11,7,8,13,94,0,0
"E33019912","E01033617","E02001876",2011,603,1,0,2,0,0,0,0,1,0,1,0,0,9,17,1,20,6,2,2,10,14,39,455,16,9,0,0
"E33019913","E01033625","E02006899",2011,906,0,0,10,1,0,0,1,3,3,2,0,1,14,20,5,29,30,158,15,128,80,107,70,193,46,0,0
"E33019914","E01033625","E02006899",2011,521,1,0,7,4,0,0,0,0,0,3,0,2,30,35,13,209,1,51,24,39,31,59,5,2,12,0,0
"E33019915","E01033625","E02006899",2011,268,2,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,1,0,1,58,25,22,117,3,28,0,0
"E33019916","E01033625","E02006899",2011,666,0,0,10,4,0,0,1,1,0,4,1,11,23,8,73,132,24,8,6,61,71,183,14,7,33,0,1
"E33019917","E01033617","E02001876",2011,1687,0,0,38,1,0,0,1,5,24,7,1,4,130,37,12,29,7,25,88,381,66,695,39,121,14,0,0
"E33019918","E01008899","E02001863",2011,312,0,0,12,0,0,0,1,1,3,7,0,1,20,156,10,17,17,1,3,9,10,3,25,9,19,0,0
"E33019919","E01033620","E02006899",2011,441,0,0,2,0,0,0,0,0,1,1,0,3,10,226,50,42,4,20,5,3,38,9,15,9,5,0,0
"E33019920","E01033620","E02006899",2011,1005,0,0,14,4,0,0,0,3,4,3,0,0,8,733,21,88,7,25,2,14,33,2,18,20,20,0,0
"E33019921","E01033620","E02006899",2011,309,0,0,0,0,0,0,0,0,0,0,1,0,2,11,0,5,0,3,2,3,9,242,4,14,13,0,0
"E33019922","E01033620","E02006899",2011,865,0,0,6,3,1,0,1,0,1,0,0,3,3,634,2,58,11,14,16,2,43,2,24,17,30,0,0
"E33019923","E01033620","E02006899",2011,319,0,0,3,0,1,0,0,1,1,0,0,0,5,205,6,4,6,12,3,1,54,7,2,6,5,0,0
"E33019924","E01033620","E02006899",2011,1357,0,1,9,1,1,0,1,2,2,2,1,4,15,89,20,9,58,11,4,15,48,1025,5,33,10,0,0
"E33019925","E01033620","E02006899",2011,331,0,0,7,0,0,1,0,0,0,6,1,0,3,0,0,0,0,1,29,17,12,228,2,17,14,0,0
"E33019926","E01033620","E02006899",2011,348,0,0,2,0,0,0,0,1,1,0,0,0,12,68,3,49,4,31,9,30,8,6,14,78,34,0,0
"E33019927","E01033620","E02006899",2011,620,0,0,16,2,8,0,0,2,1,3,0,1,10,299,128,47,5,4,1,9,35,42,4,3,16,0,0
"E33019928","E01033620","E02006899",2011,434,0,0,3,1,0,0,0,0,2,0,0,1,4,149,4,13,1,44,6,10,105,1,84,7,2,0,0
"E33019929","E01033620","E02006899",2011,354,1,0,4,1,0,0,1,0,1,1,1,0,2,217,1,40,1,1,0,22,14,3,10,35,2,0,0
"E33019930","E01033620","E02006899",2011,368,0,0,7,2,2,0,0,0,3,0,0,0,10,49,1,12,4,9,21,76,9,134,2,11,23,0,0
"E33019931","E01033620","E02006899",2011,370,1,0,2,0,0,0,0,0,2,0,0,0,19,63,182,65,1,1,0,2,24,2,5,1,2,0,0
"E33019932","E01033620","E02006899",2011,206,0,0,1,0,0,0,0,1,0,0,0,0,1,53,6,121,0,6,0,1,1,1,1,0,14,0,0
"E33019933","E01033620","E02006899",2011,333,0,0,7,2,2,0,0,0,0,3,0,0,4,252,4,25,3,12,3,2,4,1,2,3,11,0,0
"E33019934","E01033620","E02006899",2011,523,0,0,4,1,0,0,0,1,2,0,1,0,4,179,2,28,48,157,10,41,7,3,3,12,24,0,0
"E33019935","E01033620","E02006899",2011,2606,0,0,11,1,1,0,2,0,5,2,4,1,16,23,5,31,5,783,250,1395,36,15,2,18,11,0,0
